5157 511 0 0 33387 2775 10 9 60 366 17105 68023 54 378 2022 5641
5155 506 0 0 33387 2775 10 9 60 366 17105 68023 54 324 2022 5641
4463 465 0 0 32768 2754 11 9 60 300 5496 56206 54 270 1619 5638
954 215 0 0 6405 1194 8 9 60 240 363 17045 54 216 326 3057
949 211 0 0 6405 1194 8 9 60 240 303 17045 54 167 272 3057
946 209 0 0 6406 1194 8 9 15 186 300 17045 54 162 270 3057
946 208 0 0 6406 1194 8 9 0 186 300 17045 13 162 270 3057
943 205 0 0 6406 1194 8 9 0 180 300 17045 0 162 270 3057
942 205 0 0 6406 1194 8 9 0 180 300 17045 0 162 270 3057
941 204 0 0 6406 1194 8 9 0 180 300 17045 0 162 270 3057
940 203 0 0 6406 1194 8 9 0 123 300 17045 0 111 270 3057
938 202 0 0 6407 1194 8 9 0 120 300 17045 0 108 270 3057
936 200 0 0 6407 1195 8 9 0 120 300 17045 0 108 270 3057
936 199 0 0 6407 1195 8 9 0 120 300 17045 0 108 270 3057
935 199 0 0 6407 1195 8 9 0 120 300 17045 0 59 270 3057
934 197 0 0 6407 1195 8 9 0 60 300 17045 0 54 270 3057
931 195 0 0 6408 1195 8 9 0 60 300 17045 0 54 270 3057
932 196 0 0 6407 1195 8 9 0 60 300 17045 0 54 270 3057
1139 225 0 0 6990 1246 7 8 0 120 303 19101 0 59 270 3445
1143 229 0 0 6990 1247 7 8 0 120 364 19101 0 108 272 3445
1201 240 0 0 7054 1261 7 8 0 123 475 19101 0 111 359 3495
1199 238 0 0 7054 1261 7 8 0 120 475 19101 0 59 359 3495
1458 292 0 0 7683 1341 6 6 0 240 2911 24107 0 216 2338 4820
1301 272 0 0 6774 1275 6 7 0 240 2911 23316 0 216 2014 3840
986 188 0 0 5745 923 7 6 0 66 467 21593 0 54 272 3492
3598 548 0 0 27109 3852 9 10 0 240 1221 25267 0 117 1534 4847
3606 561 0 0 27108 3853 9 10 0 240 1221 25267 0 216 1971 4847
3607 562 0 0 27108 3853 9 10 0 240 1221 25267 0 216 1971 4847
4037 620 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4039 621 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4039 621 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4039 621 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4040 622 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4038 621 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4040 622 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4040 622 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4040 622 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4042 624 0 0 27477 3881 9 9 0 300 7602 50069 0 270 2662 5162
4041 623 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4041 623 0 0 27477 3882 9 9 0 300 7602 50069 0 270 2662 5162
4041 623 0 0 27477 3881 9 9 0 300 7602 50069 0 270 2662 5162
4186 651 0 0 27563 3890 9 9 0 315 9982 50069 13 270 2931 5162
4312 657 0 0 27628 3890 9 9 0 552 14180 50069 13 437 2931 5162
4314 658 0 0 27628 3890 9 9 60 552 14180 50069 54 437 2931 5162
4314 659 0 0 27628 3890 9 9 60 552 14180 50069 54 437 2931 5162
4315 660 0 0 27628 3890 9 9 60 552 14180 50069 54 437 2931 5162
4317 661 0 0 27627 3889 9 9 60 552 14180 50069 54 437 2931 5162
4316 660 0 0 27627 3889 9 9 60 552 14180 50069 54 437 2931 5162
4110 632 0 0 27510 3877 9 9 60 300 7602 50069 54 270 2543 5136
4108 630 0 0 27510 3877 9 9 60 300 7602 50069 54 270 2543 5136
4049 618 0 0 27500 3873 9 9 60 300 4471 50069 54 270 2367 5136
4049 618 0 0 27500 3873 9 9 60 300 4471 50069 54 270 2367 5136
